State,Date,Total,Category
Alabama,04/18/20,128159959,Beverages
Alabama,04/25/20,122698631,Beverages
Alabama,05/02/20,120471150,Beverages
Alabama,05/09/20,127363916,Beverages
Alabama,05/16/20,121234282,Beverages
Alabama,05/23/20,100424087,Beverages
Alabama,05/30/20,125898741,Beverages
Alabama,06/06/20,124830400,Beverages
Alabama,06/13/20,131989760,Beverages
Alabama,06/20/20,129912835,Beverages
Alabama,06/27/20,129453789,Beverages
Alabama,07/04/20,122666261,Beverages
Alabama,07/11/20,124021236,Beverages
Alabama,07/18/20,126220630,Beverages
Alabama,07/25/20,124648479,Beverages
Alabama,08/01/20,129029710,Beverages
Alabama,08/08/20,124816181,Beverages
Alabama,08/15/20,128648957,Beverages
Alabama,08/22/20,120290516,Beverages
Alabama,08/29/20,127202956,Beverages
Alabama,09/05/20,102719928,Beverages
Alabama,09/12/20,105776265,Beverages
Alabama,09/19/20,110384739,Beverages
Alabama,09/26/20,109279132,Beverages
Alabama,10/03/20,107281617,Beverages
Alabama,10/10/20,104086940,Beverages
Alabama,10/17/20,112393309,Beverages
Alabama,10/24/20,104960420,Beverages
Alabama,10/31/20,112936562,Beverages
Alabama,11/07/20,112509922,Beverages
Alabama,11/14/20,106467202,Beverages
Alabama,11/21/20,113234543,Beverages
Alabama,11/28/20,109002632,Beverages
Alabama,12/05/20,103130922,Beverages
Alabama,12/12/20,103107740,Beverages
Alabama,12/19/20,101692079,Beverages
Alabama,12/26/20,105986394,Beverages
Alabama,01/02/21,99951254,Beverages
Alabama,01/09/21,102040298,Beverages
Alabama,01/16/21,107903324,Beverages
Alabama,01/23/21,98449247,Beverages
Alabama,01/30/21,100681699,Beverages
Alabama,02/06/21,107130681,Beverages
Alabama,02/13/21,103072833,Beverages
Alabama,02/20/21,105646741,Beverages
Alabama,02/27/21,103318028,Beverages
Alabama,03/06/21,129967716,Beverages
Alabama,03/13/21,129407280,Beverages
Alabama,03/20/21,122737251,Beverages
Alabama,03/27/21,126877183,Beverages
Alabama,04/03/21,121479133,Beverages
Alabama,04/10/21,125738091,Beverages
Alabama,04/17/21,119051258,Beverages
Alabama,04/24/21,124191203,Beverages
Alabama,05/01/21,129072396,Beverages
Alabama,05/08/21,129584739,Beverages
Alabama,05/15/21,124211114,Beverages
Alabama,05/22/21,128997108,Beverages
Alabama,05/29/21,120171606,Beverages
Alabama,06/05/21,130494461,Beverages
Alabama,06/12/21,131213458,Beverages
Alabama,06/19/21,136739659,Beverages
Alabama,06/26/21,125803413,Beverages
Alabama,07/03/21,132936004,Beverages
Alabama,07/10/21,126753016,Beverages
Alabama,07/17/21,126914313,Beverages
Alabama,07/24/21,123819943,Beverages
Alabama,07/31/21,128479305,Beverages
Alabama,08/07/21,126143381,Beverages
Alabama,08/14/21,127988058,Beverages
Alabama,08/21/21,119815332,Beverages
Alabama,08/28/21,121759919,Beverages
Alabama,09/04/21,107767724,Beverages
Alabama,09/11/21,135407575,Beverages
Alabama,09/18/21,104060947,Beverages
Alabama,09/25/21,103341752,Beverages
Alabama,10/02/21,108821333,Beverages
Alabama,10/09/21,131298927,Beverages
Alabama,10/16/21,103577540,Beverages
Alabama,10/23/21,109223771,Beverages
Alabama,10/30/21,112711474,Beverages
Alabama,11/06/21,114615772,Beverages
Alabama,11/13/21,113737496,Beverages
Alabama,11/20/21,109514919,Beverages
Alabama,11/27/21,107051547,Beverages
Alabama,12/04/21,105240687,Beverages
Alabama,12/11/21,96474915,Beverages
Alabama,12/18/21,101060594,Beverages
Alabama,12/25/21,99826129,Beverages
Alabama,01/01/22,98707838,Beverages
Alabama,01/08/22,105629754,Beverages
Alabama,01/15/22,108647650,Beverages
Alabama,01/22/22,102208805,Beverages
Alabama,01/29/22,102189378,Beverages
Alabama,02/05/22,107565509,Beverages
Alabama,02/12/22,108293310,Beverages
Alabama,02/19/22,131462123,Beverages
Alabama,02/26/22,105953982,Beverages
Alabama,03/05/22,119719894,Beverages
Alabama,03/12/22,144522995,Beverages
Alabama,03/19/22,132476656,Beverages
Alabama,03/26/22,120469155,Beverages
Alabama,04/02/22,130547142,Beverages
Alabama,04/09/22,126203240,Beverages
Alabama,04/16/22,120834625,Beverages
Alabama,04/23/22,131258624,Beverages
Alabama,04/30/22,119995180,Beverages
Alabama,05/07/22,125777978,Beverages
Alabama,05/14/22,127655511,Beverages
Alabama,05/21/22,130410745,Beverages
Alabama,05/28/22,128892952,Beverages
Alabama,06/04/22,139599924,Beverages
Alabama,06/11/22,135818387,Beverages
Alabama,06/18/22,138275611,Beverages
Alabama,06/25/22,135031279,Beverages
Alabama,07/02/22,134597851,Beverages
Alabama,07/09/22,128846572,Beverages
Alabama,07/16/22,155358955,Beverages
Alabama,07/23/22,132731010,Beverages
Alabama,07/30/22,127303486,Beverages
Alabama,08/06/22,122850152,Beverages
Alabama,08/13/22,125602965,Beverages
Alabama,08/20/22,130387736,Beverages
Alabama,08/27/22,132221662,Beverages
Alabama,09/03/22,113814832,Beverages
Alabama,09/10/22,106651411,Beverages
Alabama,09/17/22,113404693,Beverages
Alabama,09/24/22,108972193,Beverages
Alabama,10/01/22,112959019,Beverages
Alabama,10/08/22,114730913,Beverages
Alabama,10/15/22,109366803,Beverages
Alabama,10/22/22,113196832,Beverages
Alabama,10/29/22,115160603,Beverages
Alabama,11/05/22,114723118,Beverages
Alabama,11/12/22,115970543,Beverages
Alabama,11/19/22,106600820,Beverages
Alabama,11/26/22,108060446,Beverages
Alabama,12/03/22,106554829,Beverages
Alabama,12/10/22,103321693,Beverages
Alabama,12/17/22,102666449,Beverages
Alabama,12/24/22,102067803,Beverages
Alabama,12/31/22,107142627,Beverages
Arizona,01/12/19,102244203,Beverages
Arizona,01/19/19,99905444,Beverages
Arizona,01/26/19,101028911,Beverages
Arizona,02/02/19,104986217,Beverages
Arizona,02/09/19,97674912,Beverages
Arizona,02/16/19,104680979,Beverages
Arizona,02/23/19,98324015,Beverages
Arizona,03/02/19,122278993,Beverages
Arizona,03/09/19,124057417,Beverages
Arizona,03/16/19,115388100,Beverages
Arizona,03/23/19,126457967,Beverages
Arizona,03/30/19,119105268,Beverages
Arizona,04/06/19,126055426,Beverages
Arizona,04/13/19,123623453,Beverages
Arizona,04/20/19,115382045,Beverages
Arizona,04/27/19,120847746,Beverages
Arizona,05/04/19,124690050,Beverages
Arizona,05/11/19,143206483,Beverages
Arizona,05/18/19,119819777,Beverages
Arizona,05/25/19,121621234,Beverages
Arizona,06/01/19,132276199,Beverages
Arizona,06/08/19,125092786,Beverages
Arizona,06/15/19,127489157,Beverages
Arizona,06/22/19,127420915,Beverages
Arizona,06/29/19,130152161,Beverages
Arizona,07/06/19,126313501,Beverages
Arizona,07/13/19,119192558,Beverages
Arizona,07/20/19,129407651,Beverages
Arizona,07/27/19,125955440,Beverages
Arizona,08/03/19,118819958,Beverages
Arizona,08/10/19,119842107,Beverages
Arizona,08/17/19,124250697,Beverages
Arizona,08/24/19,124293219,Beverages
Arizona,08/31/19,126606291,Beverages
Arizona,09/07/19,103913273,Beverages
Arizona,09/14/19,103129906,Beverages
Arizona,09/21/19,106301459,Beverages
Arizona,09/28/19,101918078,Beverages
Arizona,10/05/19,103358947,Beverages
Arizona,10/12/19,88809693,Beverages
Arizona,10/19/19,103197229,Beverages
Arizona,10/26/19,107453569,Beverages
Arizona,11/02/19,110230448,Beverages
Arizona,11/09/19,111103360,Beverages
Arizona,11/16/19,108034581,Beverages
Arizona,11/23/19,112025338,Beverages
Arizona,11/30/19,87609325,Beverages
Arizona,12/07/19,100471911,Beverages
Arizona,12/14/19,103133067,Beverages
Arizona,12/21/19,101449491,Beverages
Arizona,12/28/19,102886385,Beverages
Arizona,01/04/20,81482078,Beverages
Arizona,01/11/20,98571523,Beverages
Arizona,01/18/20,105160686,Beverages
Arizona,01/25/20,107137111,Beverages
Arizona,02/01/20,103151115,Beverages
Arizona,02/08/20,107670749,Beverages
Arizona,02/15/20,100925231,Beverages
Arizona,02/22/20,100087748,Beverages
Arizona,02/29/20,105391003,Beverages
Arizona,03/07/20,124082234,Beverages
Arizona,03/14/20,120497983,Beverages
Arizona,03/21/20,124493181,Beverages
Arizona,03/28/20,125805543,Beverages
Arizona,04/04/20,126775518,Beverages
Arizona,04/11/20,123115981,Beverages
Arizona,04/18/20,121015844,Beverages
Arizona,04/25/20,116194422,Beverages
Arizona,05/02/20,123073213,Beverages
Arizona,05/09/20,117730326,Beverages
Arizona,05/16/20,114883170,Beverages
Arizona,05/23/20,121304324,Beverages
Arizona,05/30/20,118904938,Beverages
Arizona,06/06/20,128401828,Beverages
Arizona,06/13/20,133356792,Beverages
Arizona,06/20/20,130528142,Beverages
Arizona,06/27/20,133981092,Beverages
Arizona,07/04/20,132918850,Beverages
Arizona,07/11/20,123690382,Beverages
Arizona,07/18/20,132101626,Beverages
Arizona,07/25/20,123232472,Beverages
Arizona,08/01/20,121509762,Beverages
Arizona,08/08/20,119567781,Beverages
Arizona,08/15/20,119358045,Beverages
Arizona,08/22/20,124954878,Beverages
Arizona,08/29/20,120956205,Beverages
Arizona,09/05/20,106303512,Beverages
Arizona,09/12/20,102923288,Beverages
Arizona,09/19/20,101436917,Beverages
Arizona,09/26/20,103953690,Beverages
Arizona,10/03/20,102002838,Beverages
Arizona,10/10/20,106112088,Beverages
Arizona,10/17/20,105311964,Beverages
Arizona,10/24/20,92741097,Beverages
Arizona,10/31/20,107246160,Beverages
Arizona,11/07/20,108022092,Beverages
Arizona,11/14/20,128490028,Beverages
Arizona,11/21/20,112305433,Beverages
Arizona,11/28/20,106122057,Beverages
Arizona,12/05/20,97919900,Beverages
Arizona,12/12/20,100995411,Beverages
Arizona,12/19/20,100066867,Beverages
Arizona,12/26/20,96397298,Beverages
Arizona,01/02/21,103888374,Beverages
Arizona,01/09/21,101865529,Beverages
Arizona,01/16/21,98354410,Beverages
Arizona,01/23/21,103323937,Beverages
Arizona,01/30/21,101184121,Beverages
Arizona,02/06/21,99128995,Beverages
Arizona,02/13/21,101617498,Beverages
Arizona,02/20/21,101102352,Beverages
Arizona,02/27/21,106492771,Beverages
Arizona,03/06/21,127064409,Beverages
Arizona,03/13/21,118706178,Beverages
Arizona,03/20/21,125145525,Beverages
Arizona,03/27/21,123382563,Beverages
Arizona,04/03/21,121621544,Beverages
Arizona,04/10/21,126114703,Beverages
Arizona,04/17/21,122419327,Beverages
Arizona,04/24/21,125340421,Beverages
Arizona,05/01/21,118840688,Beverages
Arizona,05/08/21,120297856,Beverages
Arizona,05/15/21,119170361,Beverages
Arizona,05/22/21,118551309,Beverages
Arizona,05/29/21,116902270,Beverages
Arizona,06/05/21,131819543,Beverages
Arizona,06/12/21,127198497,Beverages
Arizona,06/19/21,137798722,Beverages
Arizona,06/26/21,135033495,Beverages
Arizona,07/03/21,125852722,Beverages
Arizona,07/10/21,134942897,Beverages
Arizona,07/17/21,129571288,Beverages
Arizona,07/24/21,131382720,Beverages
Arizona,07/31/21,125009462,Beverages
Arizona,08/07/21,126711555,Beverages
Arizona,08/14/21,121176564,Beverages
Arizona,08/21/21,122856237,Beverages
Arizona,08/28/21,120735814,Beverages
Arizona,09/04/21,108775505,Beverages
Arizona,09/11/21,106403578,Beverages
Arizona,09/18/21,103281730,Beverages
Arizona,09/25/21,105986664,Beverages
Arizona,10/02/21,105244804,Beverages
Arizona,10/09/21,110772855,Beverages
Arizona,10/16/21,107809621,Beverages
Arizona,10/23/21,106713520,Beverages
Arizona,10/30/21,112255393,Beverages
Arizona,11/06/21,104951142,Beverages
Arizona,11/13/21,114301798,Beverages
Arizona,11/20/21,105248679,Beverages
Arizona,11/27/21,111413008,Beverages
Arizona,12/04/21,96482028,Beverages
Arizona,12/11/21,97675459,Beverages
Arizona,12/18/21,97897354,Beverages
Arizona,12/25/21,103619272,Beverages
Arizona,01/01/22,101133584,Beverages
Arizona,01/08/22,102118191,Beverages
Arizona,01/15/22,103234338,Beverages
Arizona,01/22/22,104097056,Beverages
Arizona,01/29/22,107683171,Beverages
Arizona,02/05/22,102812091,Beverages
Arizona,02/12/22,104925926,Beverages
Arizona,02/19/22,110960667,Beverages
Arizona,02/26/22,102938123,Beverages
Arizona,03/05/22,126887789,Beverages
Arizona,03/12/22,121088204,Beverages
Arizona,03/19/22,127381229,Beverages
Arizona,03/26/22,130999642,Beverages
Arizona,04/02/22,121720824,Beverages
Arizona,04/09/22,122932912,Beverages
Arizona,04/16/22,120130586,Beverages
Arizona,04/23/22,129129640,Beverages
Arizona,04/30/22,123580947,Beverages
Arizona,05/07/22,120346878,Beverages
Arizona,05/14/22,120159795,Beverages
Arizona,05/21/22,128025839,Beverages
Arizona,05/28/22,120439961,Beverages
Arizona,06/04/22,137906209,Beverages
Arizona,06/11/22,136851569,Beverages
Arizona,06/18/22,130210013,Beverages
Arizona,06/25/22,128549242,Beverages
Arizona,07/02/22,133118569,Beverages
Arizona,07/09/22,130759272,Beverages
Arizona,07/16/22,125985382,Beverages
Arizona,07/23/22,129860022,Beverages
Arizona,07/30/22,122870686,Beverages
Arizona,08/06/22,133994032,Beverages
Arizona,08/13/22,130364598,Beverages
Arizona,08/20/22,129959260,Beverages
Arizona,08/27/22,127830671,Beverages
Arizona,09/03/22,109151776,Beverages
Arizona,09/10/22,114497417,Beverages
Arizona,09/17/22,109015656,Beverages
Arizona,09/24/22,114765838,Beverages
Arizona,10/01/22,105338789,Beverages
Arizona,10/08/22,113569697,Beverages
Arizona,10/15/22,110675060,Beverages
Arizona,10/22/22,105017401,Beverages
Arizona,10/29/22,96530351,Beverages
Arizona,11/05/22,106350421,Beverages
Arizona,11/12/22,115115019,Beverages
Arizona,11/19/22,111217475,Beverages
Arizona,11/26/22,116873657,Beverages
Arizona,12/03/22,96783277,Beverages
Arizona,12/10/22,99554948,Beverages
Arizona,12/17/22,84419078,Beverages
Arizona,12/24/22,101976485,Beverages
Arizona,12/31/22,89616237,Beverages
Arkansas,01/12/19,52949857,Beverages
Arkansas,01/19/19,52968012,Beverages
Arkansas,01/26/19,55418286,Beverages
Arkansas,02/02/19,52078099,Beverages
Arkansas,02/09/19,53011913,Beverages
Arkansas,02/16/19,53880564,Beverages
Arkansas,02/23/19,53667784,Beverages
Arkansas,03/02/19,64576023,Beverages
Arkansas,03/09/19,66100976,Beverages
Arkansas,03/16/19,62757166,Beverages
Arkansas,03/23/19,64339221,Beverages
Arkansas,03/30/19,64081153,Beverages
Arkansas,04/06/19,65902292,Beverages
Arkansas,04/13/19,63088034,Beverages
Arkansas,04/20/19,65681387,Beverages
Arkansas,04/27/19,66466432,Beverages
Arkansas,05/04/19,65670285,Beverages
Arkansas,05/11/19,65702271,Beverages
Arkansas,05/18/19,62717350,Beverages
Arkansas,05/25/19,61475527,Beverages
Arkansas,06/01/19,68739944,Beverages
Arkansas,06/08/19,67253410,Beverages
Arkansas,06/15/19,70618488,Beverages
Arkansas,06/22/19,69097556,Beverages
Arkansas,06/29/19,70504196,Beverages
Arkansas,07/06/19,68883805,Beverages
Arkansas,07/13/19,69405958,Beverages
Arkansas,07/20/19,65465349,Beverages
Arkansas,07/27/19,63017096,Beverages
Arkansas,08/03/19,66946215,Beverages
Arkansas,08/10/19,62646199,Beverages
Arkansas,08/17/19,65759684,Beverages
Arkansas,08/24/19,67253377,Beverages
Arkansas,08/31/19,63351507,Beverages
Arkansas,09/07/19,66135703,Beverages
Arkansas,09/14/19,56481538,Beverages
Arkansas,09/21/19,56031138,Beverages
Arkansas,09/28/19,54589991,Beverages
Arkansas,10/05/19,57243054,Beverages
Arkansas,10/12/19,57910644,Beverages
Arkansas,10/19/19,58182530,Beverages
Arkansas,10/26/19,66858904,Beverages
Arkansas,11/02/19,57696641,Beverages
Arkansas,11/09/19,56018714,Beverages
Arkansas,11/16/19,57661535,Beverages
Arkansas,11/23/19,55031856,Beverages
Arkansas,11/30/19,58551585,Beverages
Arkansas,12/07/19,53691823,Beverages
Arkansas,12/14/19,53982880,Beverages
Arkansas,12/21/19,50384213,Beverages
Arkansas,12/28/19,52984579,Beverages
Arkansas,01/04/20,51234369,Beverages
Arkansas,01/11/20,52394543,Beverages
Arkansas,01/18/20,55237114,Beverages
Arkansas,01/25/20,55013773,Beverages
Arkansas,02/01/20,54980869,Beverages
Arkansas,02/08/20,54324191,Beverages
Arkansas,02/15/20,54661425,Beverages
Arkansas,02/22/20,57840774,Beverages
Arkansas,02/29/20,53212967,Beverages
Arkansas,03/07/20,62103404,Beverages
Arkansas,03/14/20,64627061,Beverages
Arkansas,03/21/20,66564142,Beverages
Arkansas,03/28/20,68090365,Beverages
Arkansas,04/04/20,68117155,Beverages
Arkansas,04/11/20,65003500,Beverages
Arkansas,04/18/20,65275178,Beverages
Arkansas,04/25/20,67096446,Beverages
Arkansas,05/02/20,67650416,Beverages
Arkansas,05/09/20,65287034,Beverages
Arkansas,05/16/20,63244652,Beverages
Arkansas,05/23/20,63409100,Beverages
Arkansas,05/30/20,64289254,Beverages
Arkansas,06/06/20,66429333,Beverages
Arkansas,06/13/20,65563954,Beverages
Arkansas,06/20/20,65217582,Beverages
Arkansas,06/27/20,66955533,Beverages
Arkansas,07/04/20,70962690,Beverages
Arkansas,07/11/20,68727283,Beverages
Arkansas,07/18/20,64295677,Beverages
Arkansas,07/25/20,68434167,Beverages
Arkansas,08/01/20,68095614,Beverages
Arkansas,08/08/20,66976839,Beverages
Arkansas,08/15/20,68450941,Beverages
Arkansas,08/22/20,66827337,Beverages
Arkansas,08/29/20,79771645,Beverages
Arkansas,09/05/20,59119833,Beverages
Arkansas,09/12/20,57002082,Beverages
Arkansas,09/19/20,53932144,Beverages
Arkansas,09/26/20,55416502,Beverages
Arkansas,10/03/20,59266579,Beverages
Arkansas,10/10/20,56534965,Beverages
Arkansas,10/17/20,58761276,Beverages
Arkansas,10/24/20,50015292,Beverages
Arkansas,10/31/20,56396481,Beverages
Arkansas,11/07/20,57299422,Beverages
Arkansas,11/14/20,57853526,Beverages
Arkansas,11/21/20,57424991,Beverages
Arkansas,11/28/20,60075759,Beverages
Arkansas,12/05/20,53636986,Beverages
Arkansas,12/12/20,53215471,Beverages
Arkansas,12/19/20,55455566,Beverages
Arkansas,12/26/20,53577004,Beverages
Arkansas,01/02/21,51416213,Beverages
Arkansas,01/09/21,53507963,Beverages
Arkansas,01/16/21,44309552,Beverages
Arkansas,01/23/21,56260696,Beverages
Arkansas,01/30/21,54997563,Beverages
Arkansas,02/06/21,57472502,Beverages
Arkansas,02/13/21,57167448,Beverages
Arkansas,02/20/21,55479798,Beverages
Arkansas,02/27/21,54669571,Beverages
Arkansas,03/06/21,64751581,Beverages
Arkansas,03/13/21,64539191,Beverages
Arkansas,03/20/21,75587837,Beverages
Arkansas,03/27/21,63092735,Beverages
Arkansas,04/03/21,65424251,Beverages
Arkansas,04/10/21,69155085,Beverages
Arkansas,04/17/21,64493575,Beverages
Arkansas,04/24/21,69174536,Beverages
Arkansas,05/01/21,66517493,Beverages
Arkansas,05/08/21,68887747,Beverages
Arkansas,05/15/21,62610850,Beverages
Arkansas,05/22/21,67410023,Beverages
Arkansas,05/29/21,67071967,Beverages
Arkansas,06/05/21,67564733,Beverages
Arkansas,06/12/21,67147973,Beverages
Arkansas,06/19/21,72314955,Beverages
Arkansas,06/26/21,70542661,Beverages
Arkansas,07/03/21,69367408,Beverages
Arkansas,07/10/21,69015132,Beverages
Arkansas,07/17/21,68554874,Beverages
Arkansas,07/24/21,71448619,Beverages
Arkansas,07/31/21,67459375,Beverages
Arkansas,08/07/21,82845253,Beverages
Arkansas,08/14/21,67593952,Beverages
Arkansas,08/21/21,69300002,Beverages
Arkansas,08/28/21,64074288,Beverages
Arkansas,09/04/21,60316487,Beverages
Arkansas,09/11/21,59335716,Beverages
Arkansas,09/18/21,57754031,Beverages
Arkansas,09/25/21,56886391,Beverages
Arkansas,10/02/21,56026710,Beverages
Arkansas,10/09/21,57420116,Beverages
Arkansas,10/16/21,55915863,Beverages
Arkansas,10/23/21,55206481,Beverages
Arkansas,10/30/21,57787897,Beverages
Arkansas,11/06/21,58557133,Beverages
Arkansas,11/13/21,57375714,Beverages
Arkansas,11/20/21,58921797,Beverages
Arkansas,11/27/21,61068951,Beverages
Arkansas,12/04/21,54097107,Beverages
Arkansas,12/11/21,55535818,Beverages
Arkansas,12/18/21,55713961,Beverages
Arkansas,12/25/21,55213513,Beverages
Arkansas,01/01/22,55959758,Beverages
Arkansas,01/08/22,57016443,Beverages
Arkansas,01/15/22,52662450,Beverages
Arkansas,01/22/22,53530890,Beverages
Arkansas,01/29/22,57271805,Beverages
Arkansas,02/05/22,57995408,Beverages
Arkansas,02/12/22,67830837,Beverages
Arkansas,02/19/22,54373046,Beverages
Arkansas,02/26/22,57292710,Beverages
Arkansas,03/05/22,55963661,Beverages
Arkansas,03/12/22,68708593,Beverages
Arkansas,03/19/22,68719429,Beverages
Arkansas,03/26/22,70164050,Beverages
Arkansas,04/02/22,67990919,Beverages
Arkansas,04/09/22,64429163,Beverages
Arkansas,04/16/22,68304715,Beverages
Arkansas,04/23/22,65616063,Beverages
Arkansas,04/30/22,63917991,Beverages
Arkansas,05/07/22,65600090,Beverages
Arkansas,05/14/22,63390289,Beverages
Arkansas,05/21/22,69283962,Beverages
Arkansas,05/28/22,67509854,Beverages
Arkansas,06/04/22,62602404,Beverages
Arkansas,06/11/22,73725476,Beverages
Arkansas,06/18/22,73308630,Beverages
Arkansas,06/25/22,67121248,Beverages
Arkansas,07/02/22,70021338,Beverages
Arkansas,07/09/22,67059921,Beverages
Arkansas,07/16/22,69627527,Beverages
Arkansas,07/23/22,67661358,Beverages
Arkansas,07/30/22,70559294,Beverages
Arkansas,08/06/22,65821280,Beverages
Arkansas,08/13/22,60499804,Beverages
Arkansas,08/20/22,70748417,Beverages
Arkansas,08/27/22,68434669,Beverages
Arkansas,09/03/22,57198824,Beverages
Arkansas,09/10/22,57855003,Beverages
Arkansas,09/17/22,56716163,Beverages
Arkansas,09/24/22,55508850,Beverages
Arkansas,10/01/22,57467457,Beverages
Arkansas,10/08/22,58115220,Beverages
Arkansas,10/15/22,56518909,Beverages
Arkansas,10/22/22,60097666,Beverages
Arkansas,10/29/22,60670239,Beverages
Arkansas,11/05/22,59598766,Beverages
Arkansas,11/12/22,56337771,Beverages
Arkansas,11/19/22,60071549,Beverages
Arkansas,11/26/22,59576774,Beverages
Arkansas,12/03/22,51994057,Beverages
Arkansas,12/10/22,53959354,Beverages
Arkansas,12/17/22,54625878,Beverages
Arkansas,12/24/22,55466406,Beverages
Arkansas,12/31/22,57011496,Beverages
California,01/12/19,483919254,Beverages
California,01/19/19,414858657,Beverages
California,01/26/19,429282226,Beverages
California,02/02/19,418483969,Beverages
California,02/09/19,432780904,Beverages
California,02/16/19,425197584,Beverages
California,02/23/19,402700982,Beverages
California,03/02/19,590556557,Beverages
California,03/09/19,495755429,Beverages
California,03/16/19,592652039,Beverages
California,03/23/19,470579259,Beverages
California,03/30/19,510728692,Beverages
California,04/06/19,507844305,Beverages
California,04/13/19,482768988,Beverages
California,04/20/19,476130060,Beverages
California,04/27/19,606641881,Beverages
California,05/04/19,469150700,Beverages
California,05/11/19,596293733,Beverages
California,05/18/19,490649814,Beverages
California,05/25/19,473187689,Beverages
California,06/01/19,549934135,Beverages
California,06/08/19,538546920,Beverages
California,06/15/19,520074325,Beverages
California,06/22/19,520723840,Beverages
California,06/29/19,529640981,Beverages
California,07/06/19,488549244,Beverages
California,07/13/19,506026030,Beverages
California,07/20/19,511049194,Beverages
California,07/27/19,502588676,Beverages
California,08/03/19,492543263,Beverages
California,08/10/19,510987394,Beverages
California,08/17/19,592135764,Beverages
California,08/24/19,497702232,Beverages
California,08/31/19,480090039,Beverages
California,09/07/19,448459289,Beverages
California,09/14/19,414604216,Beverages
California,09/21/19,347488169,Beverages
California,09/28/19,441576845,Beverages
California,10/05/19,447014289,Beverages
California,10/12/19,442752532,Beverages
California,10/19/19,438959048,Beverages
California,10/26/19,430311533,Beverages
California,11/02/19,432235987,Beverages
California,11/09/19,413034069,Beverages
California,11/16/19,440102374,Beverages
California,11/23/19,450567466,Beverages
California,11/30/19,461860349,Beverages
California,12/07/19,392910582,Beverages
California,12/14/19,399605749,Beverages
California,12/21/19,392840737,Beverages
California,12/28/19,402218609,Beverages
California,01/04/20,414043025,Beverages
California,01/11/20,411674869,Beverages
California,01/18/20,395794424,Beverages
California,01/25/20,399224291,Beverages
California,02/01/20,422076642,Beverages
California,02/08/20,427076942,Beverages
California,02/15/20,428520407,Beverages
California,02/22/20,419456794,Beverages
California,02/29/20,404254001,Beverages
California,03/07/20,502207803,Beverages
California,03/14/20,485189684,Beverages
California,03/21/20,518097293,Beverages
California,03/28/20,490823633,Beverages
California,04/04/20,507691380,Beverages
California,04/11/20,496335888,Beverages
California,04/18/20,520490783,Beverages
California,04/25/20,490109503,Beverages
California,05/02/20,500991713,Beverages
California,05/09/20,495782147,Beverages
California,05/16/20,502341630,Beverages
California,05/23/20,507956441,Beverages
California,05/30/20,587673468,Beverages
California,06/06/20,507970844,Beverages
California,06/13/20,468972393,Beverages
